subject,group,dprime,dprime_r1,dprime_r2,dprime_r3,dprime_r4,dprime_d1,dprime_d1_r1,dprime_d1_r2,dprime_d1_r3,dprime_d1_r4,dprime_d2,dprime_d2_r1,dprime_d2_r2,dprime_d2_r3,dprime_d2_r4,dprime_t,dprime_t_r1,dprime_t_r2,dprime_t_r3,dprime_t_r4,dprime_n,dprime_n_r1,dprime_n_r2,dprime_n_r3,dprime_n_r4,dprime_m,dprime_m_r1,dprime_m_r2,dprime_m_r3,dprime_m_r4,dprime_d1_n,dprime_d1_n_r1,dprime_d1_n_r2,dprime_d1_n_r3,dprime_d1_n_r4,dprime_d2_t,dprime_d2_t_r1,dprime_d2_t_r2,dprime_d2_t_r3,dprime_d2_t_r4,dprime_d2_n,dprime_d2_n_r1,dprime_d2_n_r2,dprime_d2_n_r3,dprime_d2_n_r4,corr,corr_r1,corr_r2,corr_r3,corr_r4,corr_s,corr_s_r1,corr_s_r2,corr_s_r3,corr_s_r4,corr_d,corr_d_r1,corr_d_r2,corr_d_r3,corr_d_r4,corr_d1,corr_d1_r1,corr_d1_r2,corr_d1_r3,corr_d1_r4,corr_d2,corr_d2_r1,corr_d2_r2,corr_d2_r3,corr_d2_r4,map_T,map_N,map_M
S1_A,A,0.653735130235824,0.819295925068663,0.684074402431257,0.407566526442622,0.701143961872876,0.717621216218497,0.996676121228321,0.955127812003498,0.294197664114133,0.604585346583237,0.556388646150531,0.565948821932863,0.177380196159658,0.544912593616886,0.857932449719037,1.10734390706195,1.95604131574068,0.430727299295458,1.95604131574068,0.841621233572914,0.812463628790145,1.10521704949154,0,1.09496833670871,0.841621233572914,0.604585346583237,0.243762450900624,3.16796910761376,-1.2815515655446,1.65185812384476,0.897497581136449,1.71227886484006,0,0.2533471031358,1.2815515655446,0.288047981993288,0.674489750196082,-0.430727299295457,0.243762450900624,0.841621233572914,0.747408343648408,0.430727299295457,0,1.5348986686804,0.430727299295458,0.625,0.666666666666667,0.625,0.583333333333333,0.625,0.666666666666667,0.714285714285714,0.666666666666667,0.545454545454545,0.727272727272727,0.588235294117647,0.6,0.6,0.615384615384615,0.538461538461538,0.612903225806452,0.666666666666667,0.7,0.571428571428571,0.5,0.55,0.5,0.4,0.666666666666667,0.6,0.661816446353456,0.55137049702567,0.563418542485812
S2_B,B,0.121587382750483,0.996676121228321,0.367532397457228,-0.2533471031358,-0.210428394247925,0.121587382750483,0.861454598590915,0.571986467100175,-0.430727299295457,-0.180012369792705,0.121587382750483,1.10521704949154,-0.177380196159658,0,-0.2533471031358,-0.527285914585097,1.71227886484006,2.32634787404084,-3.16796910761376,-2.32634787404084,0.430727299295457,0,1.10521704949154,0.674489750196082,-1.65185812384476,0,2.32634787404084,-1.71227886484006,1.89562057474538,-0.607061815348519,0.861454598590915,NaN,1.71227886484006,1.95604131574068,-1.65185812384476,0.222080748674736,0.430727299295457,2.32634787404084,0.439930331971686,0.430727299295458,0.112087935331082,0,-1.89562057474538,0.243762450900624,-1.65185812384476,0.52112676056338,0.692307692307692,0.5625,0.45,0.454545454545455,0.548387096774194,0.666666666666667,0.6,0.5,0.5,0.5,0.714285714285714,0.545454545454545,0.4,0.416666666666667,0.5,0.666666666666667,0.625,0.333333333333333,0.428571428571429,0.5,0.75,0.333333333333333,0.5,0.4,0.22452012939906,0.181447647725038,0.110348216361826
S3_A,A,0.778185700598886,1.13500246569411,0.226396057918708,0.927836853331882,0.905890938464773,0.582425410054803,0.724108531416651,0.291017000413595,0.684074402431257,0.560304455874653,1.12398563597997,1.57493279766579,0.113636804253938,1.2207686692375,1.16736627122317,0.648782202137326,0,0.674489750196082,1.2815515655446,0.439930331971686,1.13085088297887,1.10521704949154,0,1.09496833670871,1.95604131574068,0.430727299295458,2.7570751733363,-0.439930331971686,-0.850824266249143,0,0.860034449093463,0.430727299295457,0,0.841621233572914,1.95604131574068,0.962912201580225,0,1.10521704949154,1.2815515655446,0.439930331971686,1.383016318702,1.71227886484006,0,1.27234853286837,1.95604131574068,0.652173913043478,0.695652173913043,0.565217391304348,0.681818181818182,0.666666666666667,0.534883720930233,0.615384615384615,0.444444444444444,0.6,0.454545454545455,0.755102040816326,0.8,0.642857142857143,0.75,0.846153846153846,0.689655172413793,0.666666666666667,0.666666666666667,0.666666666666667,0.75,0.85,1,0.6,0.833333333333333,1,0.200725462988956,0.22040964473927,0.135567006347889
S4_A,A,0.71383023713091,0.616587517694784,-0.056058564974733,1.78658917078021,0.861454598590915,0.422715438435146,0.294197664114133,-0.393057402017662,1.40757005550578,0.684074402431257,1.30183814331877,1.08160686042313,0.701910934691052,1.84750038747746,1.27234853286837,0.674489750196082,1.95604131574068,-3.00083762423692,0,3.60789943958544,0.927836853331882,1.09496833670871,-0.607061815348519,2.2489731316463,0,0.0125794366924422,-1.2815515655446,2.57969497717664,0.607061815348519,-0.684074402431257,0.433359472928505,0.2533471031358,-1.2815515655446,2.2489731316463,0,1.58294761873347,1.10521704949154,-0.243762450900624,3.60789943958544,3.60789943958544,1.47398745198315,1.5348986686804,0,2.2489731316463,0,0.642105263157895,0.625,0.5,0.782608695652174,0.666666666666667,0.604651162790698,0.545454545454545,0.444444444444444,0.714285714285714,0.666666666666667,0.673076923076923,0.692307692307692,0.533333333333333,0.888888888888889,0.666666666666667,0.5625,0.571428571428571,0.4,0.8,0.6,0.85,0.833333333333333,0.8,1,0.8,0.201429270366301,0.132015577248554,0.0850048416101812
S5_A,A,1.30382675182593,1.19889026290412,1.54447674549424,1.6063309073593,1.2815515655446,1.0113873871932,0.524400512708041,1.19889026290412,1.6063309073593,0.967421566101701,2.03331529093458,1.80595207825264,1.80595207825264,1.6063309073593,1.2815515655446,1.95604131574068,3.60789943958544,1.5348986686804,3.60789943958544,1.2815515655446,1.81622664896342,1.09496833670871,1.95604131574068,1.2815515655446,1.2815515655446,0.336998837042929,-0.430727299295457,2.32634787404084,0.684074402431257,0.430727299295458,1.37335721131638,0.2533471031358,1.95604131574068,1.2815515655446,1.2815515655446,1.95604131574068,3.60789943958544,1.5348986686804,2.7570751733363,1.2815515655446,1.50455939648497,1.5348986686804,1.95604131574068,1.2815515655446,1.2815515655446,0.741935483870968,0.727272727272727,0.782608695652174,0.791666666666667,0.666666666666667,0.651162790697674,0.7,0.7,0.777777777777778,0.5,0.82,0.75,0.846153846153846,0.8,0.9,0.733333333333333,0.5,0.75,0.8,0.833333333333333,0.95,1,1,0.8,1,0.0698073174449106,0.17550231386562,0.130409782325021
S6_A,A,1.13429541499224,1.30429208275448,1.0268027360814,1.06757052387814,1.2207686692375,0.840215286837183,0.96729324571155,0.843039876672416,0.636843224582684,0.967421566101701,1.6885766945307,2.06226158242026,1.36602174628095,1.74206027407422,1.64191131629778,2.06703476797689,2.7570751733363,2.32634787404084,3.60789943958544,1.71227886484006,1.30610475891548,2.32634787404084,1.2815515655446,1.64191131629778,0.967421566101701,0.243762450900624,0.177380196159658,0,-1.65185812384476,1.89562057474538,0.764709673786387,0,1.2815515655446,0.967421566101701,0.967421566101701,1.93181324533948,2.7570751733363,2.32634787404084,2.32634787404084,1.71227886484006,1.98535002263374,3.60789943958544,1.2815515655446,2.2489731316463,0.967421566101701,0.698924731182796,0.666666666666667,0.695652173913043,0.708333333333333,0.727272727272727,0.822222222222222,0.888888888888889,0.7,0.857142857142857,0.833333333333333,0.583333333333333,0.533333333333333,0.692307692307692,0.5,0.6,0.466666666666667,0.4,0.625,0.333333333333333,0.5,0.777777777777778,0.8,0.8,0.75,0.75,0.235192576849308,0.283002598007547,0.161845869772538
S7_A,A,2.6300022539379,2.33453474081023,3.43711949067763,2.34912208942274,2.72172629489137,2.36274391731459,1.97602839241553,3.16796910761376,2.34912208942274,2.50219191439195,2.4753466383277,2.19000943408199,3.60789943958544,2.34912208942274,2.50219191439195,2.03749593939488,1.95604131574068,2.7570751733363,1.95604131574068,1.95604131574068,2.2976030493926,1.68324246714583,3.60789943958544,2.2489731316463,3.00083762423692,3.89107434540264,3.60789943958544,3.16796910761376,3.60789943958544,3.60789943958544,1.78526136683287,0.841621233572914,3.60789943958544,2.2489731316463,2.32634787404084,2.16869812456348,1.95604131574068,3.60789943958544,1.95604131574068,1.95604131574068,2.39232318218139,2.12317279911752,3.60789943958544,2.2489731316463,3.60789943958544,0.90625,0.875,0.916666666666667,0.916666666666667,0.916666666666667,0.883720930232558,0.818181818181818,1,0.857142857142857,0.888888888888889,0.924528301886792,0.923076923076923,0.866666666666667,1,0.933333333333333,0.878787878787879,0.857142857142857,0.8,1,0.9,1,1,1,1,1,1.14889382180694,1.06137301928526,0.919014736688328
S8_B,B,0.303839026360049,0.210428394247925,0.48296881424033,0.243762450900624,0.660687985922855,0.365241290821307,0.463775497383725,0.312601718797063,0.421142647060282,0.769228914186073,0.209271157184857,-0.220298905047533,0.714074462965902,-0.167131483376833,0.493556502546022,1.39814886539716,1.5348986686804,1.0282044624088,2.32634787404084,3.60789943958544,0.0303392721954329,-0.850824266249143,1.71227886484006,-0.29293181590562,-1.48472664046793,0.285945982618862,1.89562057474538,-1.2815515655446,0.177380196159658,1.65185812384476,0.0733347333430948,0,1.71227886484006,0.243762450900624,-1.48472664046793,0.291017000413595,-2.07300077090504,0.177380196159658,2.32634787404084,1.89562057474538,0,-1.2815515655446,1.71227886484006,-1.65185812384476,-1.48472664046793,0.550561797752809,0.55,0.608695652173913,0.478260869565217,0.565217391304348,0.658536585365854,0.583333333333333,0.4,0.75,0.909090909090909,0.458333333333333,0.5,0.769230769230769,0.333333333333333,0.25,0.482758620689655,0.6,0.714285714285714,0.4,0.285714285714286,0.421052631578947,0.333333333333333,0.833333333333333,0.2,0.2,0.478281047543108,0.233092772779789,0.195310625729716
S9_A,A,2.56722918462987,NaN,3.34642410682704,1.45080353208166,3.60789943958544,2.26757499946512,NaN,2.8922966959737,1.19543697308184,3.60789943958544,2.58170499890802,NaN,3.60789943958544,1.71227886484006,3.60789943958544,3.29376944014254,NaN,3.60789943958544,2.7570751733363,3.60789943958544,2.61672930166354,NaN,3.60789943958544,1.2815515655446,3.60789943958544,1.24043857212894,NaN,2.32634787404084,0.243762450900624,3.60789943958544,2.61672930166354,NaN,3.60789943958544,1.2815515655446,3.60789943958544,3.60789943958544,NaN,3.60789943958544,3.60789943958544,3.60789943958544,2.61672930166354,NaN,3.60789943958544,1.2815515655446,3.60789943958544,0.9,NaN,0.916666666666667,0.772727272727273,1,0.903225806451613,NaN,1,0.666666666666667,1,0.897435897435897,NaN,0.846153846153846,0.846153846153846,1,0.833333333333333,NaN,0.714285714285714,0.777777777777778,1,1,NaN,1,1,1,0.214697561150306,0.139873003818324,0.167992874946854
S10_B,B,1.7997384368997,0.407566526442622,2.06226158242026,2.07149365349507,3.60789943958544,1.47338787654781,-0.204454069642947,1.74504086155539,1.9011265580518,3.60789943958544,2.65774696439616,1.39573685986603,2.50219191439195,2.30259930222064,3.60789943958544,1.88336583532617,-1.65185812384476,2.32634787404084,3.60789943958544,3.60789943958544,2.37366286551164,0.927836853331882,3.60789943958544,3.00083762423692,3.60789943958544,0.66739505948142,-1.2815515655446,0.684074402431257,0,3.60789943958544,2.25440195663396,0.2533471031358,3.60789943958544,3.60789943958544,3.60789943958544,2.8462780369064,1.95604131574068,3.60789943958544,3.60789943958544,3.60789943958544,2.46838299830042,1.5348986686804,3.60789943958544,2.7570751733363,3.60789943958544,0.8125,0.583333333333333,0.833333333333333,0.833333333333333,1,0.844444444444444,0.545454545454545,0.888888888888889,0.909090909090909,1,0.784313725490196,0.615384615384615,0.8,0.769230769230769,1,0.67741935483871,0.375,0.7,0.714285714285714,1,0.95,1,1,0.833333333333333,1,0.0838801759033241,0.107353981720729,0.096377005523553
S11_B,B,1.98877720935234,1.40757005550578,0.755749326509155,3.60789943958544,3.75242474631369,1.87587943463909,0.996676121228321,0.819295925068663,3.60789943958544,3.47669725441685,2.19000943408199,1.84750038747746,0.684074402431257,3.60789943958544,3.60789943958544,2.07924887202328,0.430727299295457,2.12317279911752,3.60789943958544,3.60789943958544,1.77429311803775,1.95604131574068,-0.430727299295458,3.60789943958544,3.00083762423692,1.79560442755626,1.10521704949154,0,3.60789943958544,3.60789943958544,1.85456812512058,1.95604131574068,0.850824266249143,3.60789943958544,2.32634787404084,2.21045105719187,1.71227886484006,2.12317279911752,3.60789943958544,3.60789943958544,1.72876779259179,1.95604131574068,-0.861454598590915,3.60789943958544,3.60789943958544,0.840425531914894,0.75,0.652173913043478,1,0.958333333333333,0.818181818181818,0.714285714285714,0.6,1,1,0.86,0.8,0.692307692307692,1,0.923076923076923,0.833333333333333,0.666666666666667,0.714285714285714,1,0.875,0.9,1,0.666666666666667,1,1,0.228104581909766,0.376953570763942,0.284945536605477
S12_B,B,0.684419704250162,0.043151683592223,0.796833656096027,0.252197080227406,2.01227895659072,0.759439981968692,0.458349662846237,0.861454598590915,-0.217193126415818,2.07319017328798,0.57780875762261,-0.701910934691052,0.684074402431257,0.779482994812502,1.46612835793946,1.20578592298325,0.430727299295457,0,0,3.60789943958544,0.380318515550538,-0.927836853331882,2.07300077090504,0,1.95604131574068,0.5066942062716,3.00083762423692,0.684074402431257,-0.674489750196082,1.2815515655446,0.653735130235824,-0.2533471031358,2.32634787404084,0.607061815348519,1.95604131574068,1.14049366215468,0,0,2.7570751733363,2.32634787404084,0.223007830940367,-2.57969497717664,1.89562057474538,-0.243762450900624,1.95604131574068,0.630434782608696,0.5,0.652173913043478,0.541666666666667,0.826086956521739,0.674418604651163,0.555555555555556,0.666666666666667,0.636363636363636,0.785714285714286,0.591836734693878,0.461538461538462,0.642857142857143,0.461538461538462,0.888888888888889,0.620689655172414,0.625,0.666666666666667,0.285714285714286,1,0.55,0.2,0.6,0.666666666666667,0.75,0.155557917365183,0.193543018471435,0.0778019858286838
S13_B,B,-0.22962543987332,-0.249055120237556,-0.334168684005819,0,0,-0.522981869608539,-0.502402223373355,-0.861454598590915,0,0,0.584455638699933,0.172087526822726,0.850824266249143,0,0,-1.39814886539716,-3.29376944014254,-2.32634787404084,0,0,0.728917875309393,1.71227886484006,0.29293181590562,0,0,-0.410893934277457,-0.243762450900624,-1.10521704949154,0,0,0.231105648725572,1.71227886484006,-0.243762450900624,NaN,0,-0.125800332528787,-0.967421566101701,1.2815515655446,0,0,0.545235648168471,1.71227886484006,0.607061815348519,0,0,0.472222222222222,0.434782608695652,0.454545454545455,0.538461538461538,0.5,0.2,0.307692307692308,0.333333333333333,0,0,0.72972972972973,0.6,0.538461538461538,1,1,0.625,0.5,0.333333333333333,1,1,0.923076923076923,0.75,1,1,1,0.162153382155949,0.201732047899005,0.088055824533899
S14_B,B,0.786268266093982,0.0819716037784129,1.8568041715683,0.944722043579092,0.483215424328226,0.703640718719203,-0.16874332572434,1.71227886484006,0.610739669088163,0.384690213826179,0.958050460170392,0.49286553805587,1.10521704949154,1.46156393533731,0.701910934691052,1.0282044624088,0.439930331971686,3.60789943958544,0.850824266249143,1.2815515655446,0.878832968592514,0.674489750196082,0.841621233572914,1.95604131574068,0.29293181590562,0.367739078858096,-1.2815515655446,1.71227886484006,0.243762450900624,0.177380196159658,1.30766006498618,-1.65185812384476,1.2815515655446,1.95604131574068,0.607061815348519,1.0282044624088,0.439930331971686,3.60789943958544,0.850824266249143,1.2815515655446,0.588037983905628,1.10521704949154,0,1.95604131574068,-0.243762450900624,0.652173913043478,0.521739130434783,0.818181818181818,0.652173913043478,0.625,0.511627906976744,0.363636363636364,0.666666666666667,0.571428571428571,0.444444444444444,0.775510204081633,0.666666666666667,0.923076923076923,0.777777777777778,0.733333333333333,0.75,0.571428571428571,1,0.666666666666667,0.7,0.823529411764706,0.8,0.75,1,0.8,0.130555711524116,0.21792563302561,0.0781228385668834
S15_B,B,0.879846325363964,0.445314310806684,1.01805677692219,1.32091762701394,0.96729324571155,0.204259057530158,-0.718814828361097,0.511362570650587,0.636843224582684,0.379019115274435,2.45369803106487,1.63030726106165,2.04626123933099,2.34912208942274,2.06226158242026,0.622925723210088,-1.48472664046793,3.60789943958544,0.430727299295457,0,1.48638752074783,1.2815515655446,2.7570751733363,2.7570751733363,1.89562057474538,-0.254409741451189,-2.32634787404084,-1.27234853286837,1.89562057474538,1.48472664046793,0.475859630179926,1.2815515655446,1.89562057474538,0,0,1.90447728875469,2.12317279911752,3.60789943958544,1.71227886484006,1.2815515655446,2.48552711649495,1.2815515655446,3.60789943958544,3.60789943958544,2.7570751733363,0.645833333333333,0.583333333333333,0.666666666666667,0.75,0.583333333333333,0.790697674418605,0.636363636363636,0.777777777777778,0.857142857142857,0.888888888888889,0.528301886792453,0.538461538461538,0.6,0.6,0.4,0.272727272727273,0.142857142857143,0.4,0.333333333333333,0.2,0.95,1,1,1,0.8,0.133673968669036,0.195812847392103,0.0874640721784172
S16_A,A,2.50852154733133,1.92853410132359,1.47398745198315,3.60789943958544,3.60789943958544,2.15040985923049,1.58294761873347,0.96729324571155,3.60789943958544,3.60789943958544,2.78263751158863,2.19000943408199,2.50219191439195,3.60789943958544,3.60789943958544,2.13067529329466,3.60789943958544,0.243762450900624,3.60789943958544,3.60789943958544,3.15794528938485,1.95604131574068,3.00083762423692,3.60789943958544,3.60789943958544,1.82395414723361,0,2.07300077090504,3.60789943958544,3.60789943958544,2.71507585173781,1.95604131574068,2.32634787404084,3.60789943958544,3.60789943958544,2.8462780369064,3.60789943958544,1.95604131574068,3.60789943958544,3.60789943958544,2.8462780369064,1.95604131574068,3.60789943958544,3.60789943958544,3.60789943958544,0.885416666666667,0.833333333333333,0.708333333333333,1,1,0.933333333333333,0.818181818181818,0.888888888888889,1,1,0.843137254901961,0.846153846153846,0.6,1,1,0.741935483870968,0.75,0.4,1,1,1,1,1,1,1,0.337872391210299,0.151233109704243,0.194470175284284
S21_B,B,1.05779898695914,1.16180497167319,0.112087935331082,1.34402345694627,1.83757995949229,0.861454598590915,0.819295925068663,-0.0652922608285754,1.46982378947506,1.51519010591164,1.43387526695799,1.5348986686804,0.522981869608539,1.17689197356944,2.30259930222064,0.63727872792875,-0.430727299295458,1.2815515655446,1.2815515655446,0,1.34444800719243,2.12317279911752,0,2.7570751733363,1.34897950039216,0.602102798652844,0.430727299295458,-0.684074402431257,1.10521704949154,3.00083762423692,1.69049624708823,2.12317279911752,0,3.60789943958544,1.95604131574068,1.60019092950898,0.850824266249143,1.2815515655446,1.2815515655446,3.60789943958544,1.14732623591813,2.12317279911752,0,2.32634787404084,1.10521704949154,0.703296703296703,0.714285714285714,0.565217391304348,0.739130434782609,0.791666666666667,0.666666666666667,0.6,0.375,0.692307692307692,0.909090909090909,0.73469387755102,0.818181818181818,0.666666666666667,0.8,0.692307692307692,0.666666666666667,0.714285714285714,0.6,0.833333333333333,0.571428571428571,0.842105263157895,1,0.8,0.75,0.833333333333333,0.238311103837656,0.348744978515971,0.207823001032747
S22_B,B,0.959702571421583,0.559184089764969,0.49865173375708,1.57793715094904,1.33918516783284,0.803405541151258,0.66739505948142,0.178929065082513,1.70373748347783,0.908457868537386,1.21924716200356,0.348755695517045,1.16026059753729,1.41080566757221,1.87587943463909,0.541395085129088,1.2815515655446,-2.32634787404084,3.60789943958544,-2.07300077090504,1.77429311803775,1.5348986686804,2.7570751733363,1.95604131574068,3.00083762423692,0.2533471031358,1.65185812384476,-0.430727299295458,0,2.7570751733363,1.95471708289702,1.5348986686804,2.7570751733363,1.95604131574068,3.60789943958544,1.06579559783713,-0.430727299295457,1.2815515655446,2.32634787404084,1.5348986686804,1.65185623280526,1.5348986686804,2.7570751733363,1.95604131574068,2.7570751733363,0.681318681318681,0.608695652173913,0.590909090909091,0.782608695652174,0.739130434782609,0.720930232558139,0.636363636363636,0.625,0.769230769230769,0.818181818181818,0.645833333333333,0.583333333333333,0.571428571428571,0.8,0.666666666666667,0.586206896551724,0.625,0.444444444444444,0.833333333333333,0.5,0.736842105263158,0.5,0.8,0.75,0.833333333333333,0.56712718138551,0.459015475060635,0.335924372442632
S23_B,B,1.18532240280983,1.36077777462393,0.490400052261809,1.05365302250555,2.35525396890514,0.85216941544029,1.05204962782084,0.139161808814371,0.684074402431257,2.00966748631502,2.00831792262138,1.49197995979253,0.853236271780273,1.71227886484006,2.61672930166354,1.05472523304753,1.5348986686804,1.5348986686804,0,2.32634787404084,1.40983926369618,0.430727299295458,0,1.95604131574068,2.12317279911752,0.704412882500746,1.71227886484006,-0.430727299295457,0.177380196159658,3.00083762423692,1.29057835481851,-2.32634787404084,0.607061815348519,1.95604131574068,2.12317279911752,1.77032797665927,1.5348986686804,1.5348986686804,1.2815515655446,3.60789943958544,1.50455939648497,1.2815515655446,-0.243762450900624,1.95604131574068,2.12317279911752,0.722222222222222,0.7,0.590909090909091,0.708333333333333,0.875,0.651162790697674,0.583333333333333,0.454545454545455,0.666666666666667,0.909090909090909,0.787234042553192,0.875,0.727272727272727,0.733333333333333,0.846153846153846,0.678571428571429,0.8,0.6,0.6,0.75,0.947368421052632,1,0.833333333333333,1,1,0.243197789504216,0.160150412844537,0.141398442294547
S24_A,A,0.726997139300046,0.853236271780273,0.661608863780209,0.291017000413595,1.41086009191074,0.514379033202587,0.316542004974029,0.250714929502753,0.384690213826179,1.22709723250176,1.12008512340092,1.16736627122317,1.1015391957519,0.113636804253938,1.7500791021103,0.78895665287323,0.607061815348519,-2.32634787404084,1.2815515655446,2.32634787404084,0.893630292293429,0.5066942062716,0.850824266249143,1.2815515655446,0.841621233572914,0.367532397457228,1.2815515655446,0.430727299295458,-0.684074402431257,2.32634787404084,0.600698476387809,-2.07300077090504,0.850824266249143,1.2815515655446,1.2815515655446,1.06462906451328,0.607061815348519,1.2815515655446,-0.430727299295457,3.60789943958544,1.20776029173633,1.5348986686804,0.850824266249143,1.2815515655446,0.430727299295458,0.642105263157895,0.652173913043478,0.583333333333333,0.583333333333333,0.75,0.533333333333333,0.454545454545455,0.428571428571429,0.444444444444444,0.818181818181818,0.74,0.833333333333333,0.8,0.666666666666667,0.692307692307692,0.666666666666667,0.666666666666667,0.666666666666667,0.7,0.625,0.85,1,1,0.6,0.8,0.148133220349683,0.142281996674155,0.146109840949355
